Time,Ticker,Signal,Price,Executed
2025-05-20T21:06:08.520907,AAPL,buy,206.86000061035156,False
2025-05-20T21:06:08.660959,MSFT,sell,458.1700134277344,False
2025-05-20T21:07:19.942272,AAPL,buy,206.86000061035156,False
2025-05-20T21:07:20.138022,MSFT,sell,458.1700134277344,False
2025-05-20T21:13:30.492135,AAPL,buy,206.86000061035156,False
2025-05-20T21:13:30.988802,MSFT,sell,458.1700134277344,False
2025-05-20T21:19:49.116898,AAPL,buy,206.86000061035156,False
2025-05-20T21:19:49.265129,MSFT,sell,458.1700134277344,False
2025-05-20T22:05:42.138653,AAPL,buy,206.86000061035156,False
2025-05-20T22:05:42.348533,MSFT,sell,458.1700134277344,False
2025-05-20T22:06:31.493639,AAPL,buy,206.86000061035156,False
2025-05-20T22:06:31.647651,MSFT,sell,458.1700134277344,False
2025-05-20T22:06:54.773938,AAPL,buy,206.86000061035156,False
2025-05-20T22:06:54.917307,MSFT,sell,458.1700134277344,False
2025-05-20T22:11:31.342195,AAPL,buy,206.86000061035156,False
2025-05-20T22:11:31.563159,MSFT,sell,458.1700134277344,False
2025-05-20T22:17:26.510561,AAPL,buy,206.86000061035156,False
2025-05-20T22:17:26.674814,MSFT,sell,458.1700134277344,False
2025-05-20T22:22:00.127779,AAPL,buy,206.86000061035156,False
2025-05-20T22:22:00.277348,MSFT,sell,458.1700134277344,False
2025-05-20T22:23:14.179522,AAPL,buy,206.86000061035156,False
2025-05-20T22:23:14.321117,MSFT,sell,458.1700134277344,False
2025-05-20T22:28:54.763107,AAPL,buy,206.86000061035156,False
2025-05-20T22:28:55.010107,MSFT,sell,458.1700134277344,False
2025-05-20T22:33:10.674303,AAPL,buy,206.86000061035156,False
2025-05-20T22:33:10.818668,MSFT,sell,458.1700134277344,False
2025-05-20T22:42:16.336889,AAPL,buy,206.86000061035156,False
2025-05-20T22:42:16.511618,MSFT,sell,458.1700134277344,False
2025-05-20T22:47:00.219881,AAPL,buy,206.86000061035156,False
2025-05-20T22:47:00.373262,MSFT,sell,458.1700134277344,False
2025-05-20T22:48:02.323499,AAPL,buy,206.86000061035156,False
2025-05-20T22:48:02.470864,MSFT,sell,458.1700134277344,False
2025-05-20T22:54:10.290213,AAPL,buy,206.86000061035156,False
2025-05-20T22:54:10.425040,MSFT,sell,458.1700134277344,False
2025-05-20T23:10:49.390078,AAPL,buy,206.86000061035156,False
2025-05-20T23:10:49.526540,MSFT,sell,458.1700134277344,False
2025-05-20T23:13:50.505154,AAPL,buy,206.86000061035156,False
2025-05-20T23:13:50.646112,MSFT,sell,458.1700134277344,False
2025-05-20T23:16:46.468286,AAPL,buy,206.86000061035156,False
2025-05-20T23:16:47.600488,MSFT,sell,458.1700134277344,False
2025-05-21T14:07:38.643830,AAPL,buy,202.08999633789062,False
2025-05-21T14:07:38.873972,MSFT,sell,452.57000732421875,False
